#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
MJ033-1-barcode32-umi10292bins-ubs-28	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
G004298155	Bacteria	 Acidobacteriota	 Terriglobia	 UBA7540	 UBA7540	 SCRD01	 SCRD01 sp004298155
MJ034-1-barcode25-umi27367bins-ubs-4	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA3939	 UBA3939	 UBA3939 sp002385705
MJ034-1-barcode30-umi18840bins-ubs-12	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
RS-GCF-014203735.1-NZ-JACHJQ010000021.1	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Actinophytocola	 Actinophytocola xinjiangensis
MJ030-2-barcode58-umi113745bins-ubs-3	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 	 
MJ030-2-barcode65-umi33083bins-ubs-19	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Ideonella_A_591966	 
AB331895	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Haloferula_776278	 Luteolibacter yonseiensis
MJ034-1-barcode33-umi28312bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Methylibium	 
MJ033-1-barcode32-umi713bins-ubs-322	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ034-1-barcode41-umi4903bins-ubs-91	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Variovorax	 
MJ030-2-barcode65-umi112525bins-ubs-3	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 	 
MJ020-1-barcode30-umi124945bins-ubs-3	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Oscillospirales	 Acutalibacteraceae	 Fimenecus	 Fimenecus sp000432435
MJ033-1-barcode32-umi701bins-ubs-325	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA11358	 UBA11358	 UBA11358 sp003455565
MJ030-2-barcode65-umi87126bins-ubs-5	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ030-2-barcode74-umi356bins-ubs-212	Bacteria	 Patescibacteria	 Saccharimonadia	 Saccharimonadales	 UBA4665	 PMNU01	 PMNU01 sp002952755
G001897355	Bacteria	 Actinomycetota	 Thermoleophilia	 Solirubrobacterales	 70-9	 67-14	 67-14 sp001897355
MJ030-1-barcode42-umi111625bins-ubs-3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Haloferula_776278	 Luteolibacter yonseiensis
KT287072	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 Vicinamibacteraceae	 Luteitalea	 Luteitalea pratensis
GB-GCA-017308575.1-JAFKEQ010000006.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Xanthobacteraceae	 Afipia	 
MJ010-1-barcode26-umi31972bins-ubs-21	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Niastella	 Niastella hibisci
G003979435	Bacteria	 Patescibacteria	 Saccharimonadia	 Saccharimonadales	 Nanosyncoccaceae	 Nanosyncoccus	 Nanosyncoccus sp003979185
MJ030-2-barcode58-umi51167bins-ubs-12	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 Prosthecobacter	 Prosthecobacter fusiformis
MJ007-1-barcode25-umi2510bins-ubs-97	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
MK272785	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium sangjuense
MJ034-1-barcode40-umi26609bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 	 	 
MJ034-1-barcode32-umi23739bins-ubs-6	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dokdonella_A	 Dokdonella_A sp002632325
G003516275	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rickettsiales_A	 Anaplasmataceae_550576	 Wolbachia	 Wolbachia sp003516275
G000723505	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Rikenellaceae	 Mucinivorans	 Mucinivorans hirudinis
MJ033-1-barcode44-umi7884bins-ubs-44	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
G001182895	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Frateuria_B_613054	 Frateuria_B defendens
MJ032-2-barcode71-umi60284bins-ubs-7	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 UBA11358	 UBA11358	 
GB-GCA-018883245.1-VEQL01000004.1	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 	 	 
MJ034-1-barcode25-umi332bins-ubs-846	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Poseidonocella_488769	 
AF480583	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium lentiflavum
