#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
MN661194	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Novosphingobium	 Novosphingobium olei
MJ034-1-barcode34-umi25826bins-ubs-5	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
MJ034-1-barcode26-umi30671bins-ubs-3	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 Palsa-187	 Palsa-187 sp902826605
MJ034-1-barcode48-umi4007bins-ubs-112	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
JN033775	Bacteria	 Actinomycetota	 Acidimicrobiia_401430	 Acidimicrobiales	 JACDCH01	 VFJN01	 Aquihabitans daechungensis
MJ030-2-barcode65-umi1064bins-ubs-133	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 	 
AMSH01000114	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306089	 Bacillaceae_H_294103	 Bacillus_P_294101	 Bacillus_P_294101 xiamenensis
MJ009-2-barcode65-umi27171bins-ubs-21	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 DSM-18226_301387	 Neobacillus	 Neobacillus niacini_A_295841
MJ033-1-barcode33-umi32010bins-ubs-6	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 UBA9219	 UBA9219	 UBA8914	 UBA8914 sp009779135
AB161360	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 SCMT01	 SCMT01 sp011526085
MJ033-1-barcode47-umi42645bins-ubs-3	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ferruginibacter profundus
MJ033-1-barcode36-umi29458bins-ubs-7	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
EF397574	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella_A_613046	 Dyella_A thiooxydans
KP721487	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Novosphingobium	 Novosphingobium malaysiense
MJ034-1-barcode48-umi7102bins-ubs-61	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Clostridiales	 Clostridiaceae_222000	 Clostridium_AT	 Clostridium_AT sp000466585
MJ020-2-barcode70-umi84660bins-ubs-3	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium gilvum
GB-GCA-003762865.1-RIBM01000072.1	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Muribaculaceae	 Lepagella	 Lepagella muris_A
JN695619	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Novosphingobium	 Novosphingobium barchaimii
MJ033-1-barcode32-umi33337bins-ubs-7	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 	 
RS-GCF-001034005.1-NZ-KQ089628.1--5	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales_737866	 Enterobacteriaceae_A_725029	 Klebsiella_724518	 Klebsiella granulomatis
MJ034-1-barcode30-umi26730bins-ubs-4	Bacteria	 Desulfobacterota_B	 Binatia	 UBA9968	 UBA9968	 	 
MJ033-1-barcode40-umi9401bins-ubs-34	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hylemonella	 Ramlibacter terrae
JX077130	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Crocinitomicaceae	 Fluviicola	 Fluviicola taffensis
MJ034-1-barcode34-umi1736bins-ubs-243	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 VBAT01	 Terrimonas lutea
MJ031-1-barcode27-umi38849bins-ubs-3	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodospirillales_A_505895	 Rhodospirillaceae	 GCA-2737725	 
MJ033-1-barcode37-umi11424bins-ubs-25	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ020-1-barcode29-umi15860bins-ubs-24	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 VBAT01	 Terrimonas lutea
MJ034-1-barcode45-umi502bins-ubs-650	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 
AF480595	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium asiaticum
GB-GCA-013184635.1-JAAPAY010000061.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Beijerinckiaceae	 Methylobacterium	 Methylobacterium thiocyanatum
MJ033-1-barcode33-umi20992bins-ubs-12	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 	 
MJ031-1-barcode42-umi15691bins-ubs-28	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Parasegetibacter	 Parasegetibacter terrae
G000022965	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium_388775	 Bifidobacterium animalis
MJ009-1-barcode35-umi105850bins-ubs-3	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Agrobacterium	 Agrobacterium arsenijevicii
MF399040	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Microbacteriaceae	 Microbacterium_A_383321	 Microbacterium_A_383321 sp001426925
MJ030-2-barcode65-umi4828bins-ubs-67	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
AB078066	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga sp001975825
FR695486	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Pseudonocardiaceae	 Pseudonocardia	 Pseudonocardia asaccharolytica
RS-GCF-000799595.1-NZ-JUGY01000106.1	Bacteria	 Bacillota_I	 Bacilli_A	 Paenibacillales	 NBRC-103111	 Paenibacillus_E_363445	 Paenibacillus_E_363445 sp001426375
MJ033-1-barcode36-umi28560bins-ubs-9	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
MJ034-1-barcode40-umi23551bins-ubs-6	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
GU207878	Bacteria	 Myxococcota_A_473307	 Polyangia_463783	 Nannocystales	 Nannocystaceae	 Nannocystis	 Nannocystis pusilla
MJ030-2-barcode65-umi101793bins-ubs-3	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ031-2-barcode69-umi1394bins-ubs-238	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavihumibacter	 
MG183677	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Tsuneonella_484052	 Tsuneonella mangrovi
MJ030-2-barcode65-umi109216bins-ubs-3	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Ideonella_A_591966	 
G005881135	Bacteria	 Chloroflexota	 Dormibacteria	 Dormibacterales	 Dormibacteraceae	 40CM-4-65-16	 40CM-4-65-16 sp005882135
MJ010-1-barcode29-umi140997bins-ubs-3	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Hanamia	 Hanamia caeni
MJ030-2-barcode65-umi3571bins-ubs-79	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Berkiellales	 Berkiellaceae	 Berkiella_A	 Berkiella_A aquae
MJ032-2-barcode56-umi1176bins-ubs-189	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Clostridiales	 Clostridiaceae_222000	 Clostridium_AM	 
EU531458	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes missouriensis
MJ007-1-barcode49-umi22132bins-ubs-8	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hydrogenophaga_590407	 
G000612625	Bacteria	 Bacillota_I	 Bacilli_A	 Bacillales_B_306087	 DSM-18226_301387	 Neobacillus	 Neobacillus jeddahensis
AB469788	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Herminiimonas_567389	 Herminiimonas arsenicoxydans
G000174355	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Chromobacteriaceae	 Pseudogulbenkiania	 Pseudogulbenkiania ferrooxidans
MJ034-1-barcode48-umi24214bins-ubs-6	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 	 	 
GB-GCA-016717905.1-JADKEO010000003.1	Bacteria	 Chloroflexota	 Anaerolineae	 Anaerolineales	 Villigracilaceae	 Villigracilis	 Villigracilis sp001567105
DQ672568	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Azospirillales_507929	 Azospirillaceae_507917	 Deserticella	 Deserticella xinjiangensis
MJ034-1-barcode48-umi19159bins-ubs-11	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 	 	 
MJ010-2-barcode64-umi97340bins-ubs-5	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium hauense
MJ020-1-barcode31-umi90150bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 Sulfotelmatobacter	 Sulfotelmatobacter sp003166855
MJ010-1-barcode29-umi171541bins-ubs-3	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 Prosthecobacter	 Prosthecobacter fusiformis
G000015725	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Methylibium	 Methylibium petroleiphilum
RS-GCF-003499275.1-NZ-QWDF01000001.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomicrobium_483192	 Sphingomicrobium astaxanthinifaciens_A
MJ033-1-barcode32-umi14721bins-ubs-18	Bacteria	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 CG2-30-53-67	 Haliangium tepidum
MF405103	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga niabensis
G003221195	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 UBA10450	 Udaeobacter	 Udaeobacter sp003221195
KX430825	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella_B	 Dyella_B choica
MJ033-1-barcode36-umi7822bins-ubs-42	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Phnomibacter	 
MJ034-1-barcode48-umi10730bins-ubs-32	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
MJ033-1-barcode49-umi29088bins-ubs-8	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 	 	 
MJ034-1-barcode30-umi26631bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
RS-GCF-007829815.1-NZ-VIWT01000001.1	Bacteria	 Actinomycetota	 Actinomycetes	 Streptomycetales_400645	 Streptomycetaceae_400641	 Kitasatospora	 Kitasatospora sp000717715
MJ033-1-barcode37-umi14179bins-ubs-20	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 Chryseolinea_899021	 Chryseolinea serpens
MJ032-1-barcode26-umi66837bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Aquabacterium_A_592457	 Aquabacterium_A_592457 commune
MJ030-2-barcode59-umi93719bins-ubs-5	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Akkermansiaceae	 Haloferula_776278	 Luteolibacter yonseiensis
G007747655	Bacteria	 Planctomycetota	 Planctomycetia	 Pirellulales	 Pirellulaceae	 Anatilimnocola	 Anatilimnocola aggregata
MJ030-2-barcode58-umi91441bins-ubs-8	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Hylemonella	 Ramlibacter terrae
G003150645	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Oscillospirales	 Acutalibacteraceae	 CAG-217	 CAG-217 sp000436335
MJ033-1-barcode32-umi7577bins-ubs-45	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 Edaphobacter_415416	 Edaphobacter aggregans
MJ034-1-barcode30-umi1783bins-ubs-232	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Gp1-AA112	 Gp1-AA112	 
MJ030-1-barcode25-umi9666bins-ubs-44	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Clostridiales	 Clostridiaceae_222000	 	 
MJ033-1-barcode38-umi6232bins-ubs-59	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
MJ031-1-barcode30-umi33013bins-ubs-6	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Koribacteraceae	 Koribacter	 Koribacter versatilis_A
AY944176	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Dermatophilaceae	 Terrabacter	 Terrabacter terrae
MJ034-1-barcode48-umi8537bins-ubs-47	Bacteria	 Acidobacteriota	 Terriglobia	 Versatilivoradales	 	 	 
RS-GCF-014840225.1-NZ-JACMIC010000012.1	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Dysgonomonadaceae	 Dysgonomonas	 Dysgonomonas sp001261735
MJ034-1-barcode31-umi903bins-ubs-406	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 	 
MJ009-1-barcode34-umi106658bins-ubs-3	Bacteria	 Actinomycetota	 Acidimicrobiia_401430	 Acidimicrobiales	 RAAP-2	 RAAP-2	 RAAP-2 sp003160115
MJ034-2-barcode72-umi17531bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 	 
EU707562	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 Neoroseomonas	 Neoroseomonas marina
MJ034-2-barcode59-umi3954bins-ubs-83	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 DSM-16500	 DSM-16500	 Aquicella_A	 
MJ030-2-barcode65-umi28499bins-ubs-24	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ034-2-barcode63-umi8742bins-ubs-24	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ006-2-barcode67-umi181314bins-ubs-3	Bacteria	 Bacillota_A_368345	 Clostridia_258483	 Oscillospirales	 Oscillospiraceae_88309	 Enterenecus	 Enterenecus sp004560375
MJ030-2-barcode58-umi40880bins-ubs-16	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 IMCC26134_A	 
GB-GCA-004299445.1-SCTC01000039.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	 Phenylobacterium kunshanense
MJ033-1-barcode36-umi13521bins-ubs-20	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Gynurincola	 
AB018439	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_L_486704	 Sphingomonas_L_486704 oligophenolica
MJ033-1-barcode40-umi3472bins-ubs-114	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A ginkgonis
DQ087403	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingosinicella	 Sphingosinicella soli
MJ033-1-barcode49-umi28175bins-ubs-9	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 VBAR01	 VBAR01 sp005882315
MJ033-1-barcode34-umi23077bins-ubs-12	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Limisphaerales	 Pedosphaeraceae	 Pedosphaera	 Pedosphaera sp000172555
MJ033-1-barcode40-umi27815bins-ubs-9	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Gynurincola	 
RQHV01000001	Bacteria	 Spirochaetota	 Leptospirae	 Leptospirales	 Leptospiraceae	 Leptospira_A	 Leptospira_A ognonensis
MJ034-2-barcode60-umi2085bins-ubs-210	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Limnovirga	 Limnovirga sp002390845
EF465534	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingobium_A_485959	 Sphingobium_A_485959 rhizovicinum
EF191408	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Beijerinckiaceae	 Microvirga	 Microvirga lotononidis
MJ034-1-barcode25-umi15631bins-ubs-19	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
G003054005	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Pararhodobacter	 Pararhodobacter aggregans
MK112564	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Nocardia	 Nocardia seriolae
GB-GCA-910573865.1-CAJTBA010000041.1	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Bacteroidaceae	 Bacteroides_H_857956	 Bacteroides_H_857956 uniformis
G005887915	Bacteria	 Myxococcota_A_473307	 Polyangia_463783	 Haliangiales_463188	 Haliangiaceae_463185	 JABFXX01	 JABFXX01 sp005887925
MJ031-2-barcode69-umi45314bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella_B	 Dyella_B jiangningensis
MJ033-1-barcode49-umi37398bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 DSM-16500	 DSM-16500	 Aquicella_A	 
EF466115	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Nocardioides_A_392796	 Nocardioides_A_392796 ginsengisegetis
MJ034-1-barcode33-umi6432bins-ubs-68	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 ELB16-189	 ELB16-189 sp001567185
MJ033-1-barcode34-umi6195bins-ubs-60	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter_A	 Mucilaginibacter_A ginsenosidivorans
GB-GCA-013817375.1-JACDCV010000035.1	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 	 
KP308152	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Xanthobacteraceae	 Bradyrhizobium_503372	 Bradyrhizobium japonicum
MJ034-2-barcode55-umi4286bins-ubs-76	Bacteria	 FCPU426	 Palsa-1180	 Palsa-1180	 Palsa-1180	 Bog-1183	 Bog-1183 sp003136635
G000263355	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650612	 Cellvibrionaceae	 Cellvibrio	 Cellvibrio sp000263355
MJ033-1-barcode34-umi23076bins-ubs-12	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 Edaphobacter_415416	 
MJ030-2-barcode69-umi88129bins-ubs-5	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Kaistiaceae_501637	 Bauldia	 
MJ032-2-barcode60-umi90728bins-ubs-3	Bacteria	 Patescibacteria	 Saccharimonadia	 Saccharimonadales	 UBA1547	 Microsaccharimonas	 
MJ033-1-barcode32-umi11411bins-ubs-27	Bacteria	 FCPU426	 Palsa-1180	 Palsa-1180	 Palsa-1180	 Bog-1183	 Bog-1183 sp003136635
RS-GCF-016735675.1-NZ-JAERSG010000009.1	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Nocardioidaceae	 Nocardioides_A_392796	 Nocardioides_A_392796 sp001428125
MJ007-2-barcode74-umi1449bins-ubs-320	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp001898505
MJ030-1-barcode42-umi127081bins-ubs-3	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 PSRF01	 PSRF01 sp003222935
RS-GCF-004570325.1-NZ-SPQO01000067.1	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium aromaticivorans
MJ034-1-barcode40-umi21186bins-ubs-12	Bacteria	 Myxococcota_A_473307	 Polyangia_463783	 Haliangiales_463188	 Haliangiaceae_463185	 JABFXX01	 JABFXX01 sp005887925
CAIC01015143.682.2534	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Kordiimonadaceae	 Kordiimonas	 Kordiimonas sp002401685
RS-GCF-018139625.1-NZ-JAGSOH010000267.1	Bacteria	 Actinomycetota	 Actinomycetes	 Streptomycetales_400645	 Catenulisporaceae	 Actinospica_394695	 
AB245358	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Variovorax	 Variovorax rhizosphaerae
MJ030-2-barcode74-umi26852bins-ubs-25	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Puia	 Puia sp003168265
MJ030-2-barcode59-umi100833bins-ubs-6	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Inhella	 Inhella crocodyli
LN832063	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Rhizobiales_505101	 Rhizobiaceae	 Shinella	 Mycoplana azooxidifex
MJ020-1-barcode31-umi21957bins-ubs-19	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 GCA-002050365	 GCA-002050365 sp002050355
MJ033-1-barcode32-umi2562bins-ubs-152	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Steroidobacterales	 Steroidobacteraceae	 	 
KJ940052	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Novosphingobium	 Novosphingobium sp001898925
MJ031-2-barcode69-umi46425bins-ubs-4	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae_A_595421	 Paraburkholderia_580243	 Paraburkholderia sacchari
MJ034-1-barcode31-umi21603bins-ubs-9	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ010-1-barcode47-umi67187bins-ubs-10	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 VBAT01	 VBAT01 sp005884665
MJ030-1-barcode42-umi11859bins-ubs-36	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 JAALKW01	 
GB-GCA-016194985.1-JACQAK010000042.1	Bacteria	 Bacteroidota	 Bacteroidia	 B-17B0	 B-17BO	 UBA4416	 UBA4416 sp002420145
G000145515	Bacteria	 Actinomycetota	 Actinomycetes	 Propionibacteriales	 Propionibacteriaceae	 Cutibacterium	 Cutibacterium acnes
MJ033-1-barcode39-umi14265bins-ubs-19	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Niastella	 
MJ034-1-barcode31-umi15004bins-ubs-19	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 SbA1	 Gp1-AA122	 
MJ034-1-barcode25-umi22549bins-ubs-8	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Micropepsales	 Micropepsaceae	 	 
KM978211	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Ferrovibrionales	 Ferrovibrionaceae	 Ferrovibrio	 Ferrovibrio xuzhouensis
MJ031-1-barcode28-umi28549bins-ubs-10	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Chthoniobacter flavus
MJ007-1-barcode38-umi9111bins-ubs-35	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 
MJ034-1-barcode40-umi26494bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 Palsa-187	 Palsa-187 sp902826605
MJ030-2-barcode65-umi101131bins-ubs-4	Bacteria	 Acidobacteriota	 Terriglobia	 Bryobacterales	 Bryobacteraceae	 	 
MJ020-1-barcode31-umi54549bins-ubs-8	Bacteria	 Acidobacteriota	 Vicinamibacteria	 Vicinamibacterales	 SCN-69-37	 SCN-69-37	 
EU870859	Bacteria	 Actinomycetota	 Actinomycetes	 Mycobacteriales	 Micromonosporaceae	 Micromonospora_H_372070	 Micromonospora_H_372070 lutea
MJ034-1-barcode41-umi26587bins-ubs-4	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales_B	 Cyclobacteriaceae	 Chryseolinea_899021	 Chryseolinea serpens
MJ033-1-barcode34-umi13562bins-ubs-20	Bacteria	 Acidobacteriota	 Terriglobia	 Terriglobales	 Acidobacteriaceae	 	 
MJ031-1-barcode30-umi23611bins-ubs-18	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales_B_877923	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium resistens
JQ608324	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae_486827	 Sphingomonas_L_486704	 Sphingomonas_L_486704 sp001421785
RS-GCF-014644475.1-NZ-BMKT01000177.1	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Micrococcaceae	 Sinomonas	 Sinomonas atrocyanea
MG661736	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	 Phenylobacterium sp002256425
MK907288	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales_A_650611	 Pseudomonadaceae	 Pseudomonas_E_648040	 Pseudomonas_E_648040 chengduensis_A
